"","pvalues","AMPLIFIED_DELETERIOUS/(AMPLIFIED_DELETERIOUS+AMPLIFIED_WT)","NON_AMPLIFIED_DELETERIOUS/(NON_AMPLIFIED_DELETERIOUS+NON_AMPLIFIED_WT)","tp_flags","Mutational_Freq"
"TAC1",1,0,0,"FALSE",0
"ZNF263",1,0,0,"FALSE",0.0384615384615385
"CX3CL1",1,0,0,"FALSE",0
"SPATA20",1,0,0,"FALSE",0
"CACNA1G",1,0,0,"FALSE",0
"TNFRSF12A",1,0,0,"FALSE",0
"DLX6",1,0,0,"FALSE",0.0740740740740741
"MAP3K9",1,0,0,"FALSE",0.0769230769230769
"RALA",1,0,0,"FALSE",0
"BAIAP2L1",1,0,0,"FALSE",0
"KDM7A",1,0,0,"FALSE",0
"ETV1",1,0,0,"FALSE",0.107142857142857
"AGK",1,0,0,"FALSE",0
"ALDH3B1",1,0,0,"FALSE",0
"TTC22",1,0,0,"FALSE",0
"PHTF2",1,0,0,"FALSE",0
"CCL26",1,0,0,"FALSE",0
"FARP2",1,0,0,"FALSE",0
"USH1C",1,0,0,"FALSE",0.107142857142857
"GGCT",1,0,0,"FALSE",0
"DBF4",1,0,0.0416666666666667,"FALSE",0.142857142857143
"TBXA2R",1,0,0,"FALSE",0
"IFRD1",1,0,0,"FALSE",0
"LGALS14",1,0,0,"FALSE",0
"COX10",1,0,0,"FALSE",0
"GTF2IRD1",1,0,0,"FALSE",0.192307692307692
"PAF1",1,0,0,"FALSE",0
"VPS41",1,0,0,"FALSE",0.0384615384615385
"ARHGAP44",1,0,0,"FALSE",0
"ELAC2",1,0,0,"FALSE",0
"SCIN",1,0,0,"TRUE",0.214285714285714
"ARSD",1,0,0,"FALSE",0.0384615384615385
"PNPLA4",1,0,0,"FALSE",0
"MYH13",1,0,0,"TRUE",0.214285714285714
"ADIPOR2",1,0,0,"FALSE",0
"CDKL3",1,0,0.0833333333333333,"FALSE",0.111111111111111
"UPP2",1,0,0,"FALSE",0
"PRSS21",1,0,0,"FALSE",0.04
"MARK4",1,0,0,"FALSE",0
"PROM1",1,0,0,"FALSE",0.0384615384615385
"CCDC124",1,0,0,"FALSE",0
"CEACAM21",1,0,0,"FALSE",0.0769230769230769
"PAFAH1B1",1,0,0,"FALSE",0
"NOS2",1,0,0,"FALSE",0
"DNAH9",1,0,0,"FALSE",0
"KIAA0100",1,0,0,"TRUE",0.233333333333333
"SLC13A2",1,0,0,"FALSE",0
"GAS7",1,0,0,"FALSE",0
"TRAPPC6A",1,0,0,"FALSE",0
"MATK",1,0,0,"FALSE",0
"CEACAM7",1,0,0,"FALSE",0.0384615384615385
"CD79B",1,0,0,"FALSE",0
"SCN4A",1,0,0,"FALSE",0.0740740740740741
"ST7L",1,0,0,"FALSE",0
"TKTL1",1,0,0,"FALSE",0
"PAX6",1,0,0,"FALSE",0
"RPUSD1",1,0,0,"FALSE",0
"RHBDF1",1,0,0,"FALSE",0.111111111111111
"LUC7L",1,0,0,"FALSE",0
"CACNA2D2",1,0,0,"FALSE",0
"BAIAP3",1,0,0,"FALSE",0
"TSR3",1,0,0,"FALSE",0
"PIGQ",1,0,0,"FALSE",0
"CRAMP1",1,0,0,"FALSE",0
"TEAD3",1,0,0,"FALSE",0.0769230769230769
"SELE",1,0,0,"FALSE",0.0769230769230769
"DNAJC11",1,0,0,"FALSE",0.04
"FMO3",1,0,0,"FALSE",0.04
"MYLIP",1,0,0,"FALSE",0.0769230769230769
"NOX1",1,0,0,"FALSE",0
"E2F2",1,0,0,"FALSE",0.0740740740740741
"PSMB1",1,0,0,"FALSE",0
"SYN1",1,0,0,"FALSE",0
"JARID2",1,0,0,"FALSE",0
"CDKL5",1,0,0,"FALSE",0.0384615384615385
"CAMK1G",1,0,0,"FALSE",0.0740740740740741
"CDK11A",1,0,0.0416666666666667,"FALSE",0.04
"NADK",1,0,0,"FALSE",0
"TFAP2B",1,0,0,"FALSE",0
"TFAP2D",1,0,0,"FALSE",0
"DLEC1",1,0,0,"FALSE",0.148148148148148
"CYTH3",1,0,0,"FALSE",0.0384615384615385
"ADAM22",1,0,0,"FALSE",0
"SYPL1",1,0,0,"FALSE",0
"CYB561",1,0,0,"FALSE",0
"SPAG9",1,0,0,"FALSE",0
"CELSR3",1,0,0,"FALSE",0.0740740740740741
"AASS",1,0,0,"FALSE",0.115384615384615
"PLEKHG6",1,0,0,"FALSE",0
"SS18L2",1,0,0,"FALSE",0
"MPND",1,0,0.0416666666666667,"FALSE",0.0769230769230769
"MGST1",1,0,0,"FALSE",0.0384615384615385
"CRY1",1,0,0,"FALSE",0
"PGLYRP1",1,0,0,"FALSE",0
"NFIX",1,0,0.0416666666666667,"FALSE",0.0769230769230769
"ST3GAL1",1,0,0,"FALSE",0
"MMP25",1,0,0,"FALSE",0.137931034482759
"IL32",1,0,0,"FALSE",0.04
"PKD1",1,0,0,"FALSE",0
"MAPK8IP2",1,0,0,"FALSE",0
"MED24",1,0,0,"FALSE",0
"RHOBTB2",1,0,0,"FALSE",0.0384615384615385
"HEATR5B",1,0,0,"FALSE",0
"SEC62",1,0,0.0416666666666667,"FALSE",0.04
"RPS20",1,0,0,"FALSE",0
"CSDE1",1,0,0,"FALSE",0
"UBE3C",1,0,0,"FALSE",0.107142857142857
"REV3L",1,0,0.0416666666666667,"TRUE",0.2
"TENM1",1,0,0,"TRUE",0.2
"PAX7",1,0,0,"FALSE",0
"MASP2",1,0,0,"FALSE",0
"IYD",1,0,0,"FALSE",0
"FAM76A",1,0,0,"FALSE",0
"TRAF3IP3",1,0,0.0833333333333333,"FALSE",0.111111111111111
"POMT2",1,0,0,"FALSE",0.0740740740740741
"VTA1",1,0,0,"FALSE",0
"MLXIPL",1,0,0,"FALSE",0
"BAZ1B",1,0,0,"FALSE",0
"RANBP9",1,0,0,"FALSE",0.0384615384615385
"ETV7",1,0,0,"FALSE",0.04
"SPRTN",1,0,0,"FALSE",0
"METTL13",1,0,0.0434782608695652,"FALSE",0.115384615384615
"DYRK4",1,0,0,"FALSE",0.0384615384615385
"ZNF207",1,0,0,"FALSE",0.0384615384615385
"UQCRC1",1,0,0.0416666666666667,"FALSE",0.0769230769230769
"STARD3NL",1,0,0,"FALSE",0
"CD9",1,0,0,"FALSE",0
"HHATL",1,0,0,"FALSE",0.0384615384615385
"NCAPD2",1,0,0,"FALSE",0
"IFFO1",1,0,0,"FALSE",0.0769230769230769
"GIPR",1,0,0,"FALSE",0
"PHF7",1,0,0,"FALSE",0.0384615384615385
"SEMA3G",1,0,0,"FALSE",0.0384615384615385
"NISCH",1,0,0,"FALSE",0.0384615384615385
"STAB1",1,0,0,"FALSE",0
"FUZ",1,0,0,"FALSE",0
"SLC6A13",1,0,0,"FALSE",0.04
"IDS",1,0,0,"FALSE",0.0769230769230769
"PRSS3",1,0,0,"FALSE",0.04
"ZNF200",1,0,0,"FALSE",0.172413793103448
"CD4",1,0,0,"FALSE",0
"LRRC23",1,0,0,"FALSE",0
"BTK",1,0,0.0869565217391304,"FALSE",0.148148148148148
"HFE",1,0,0,"FALSE",0.0384615384615385
"SCMH1",1,0,0,"FALSE",0
"FYN",1,0,0,"FALSE",0
"HIVEP2",1,0,0,"FALSE",0.0740740740740741
"FMO1",1,0,0,"FALSE",0
"ELOA",1,0,0,"FALSE",0
"LYPLA2",1,0,0,"FALSE",0
"CLCN6",1,0,0,"FALSE",0
"MRC2",1,NA,0,"TRUE",0.206896551724138
"NME1.NME2",1,0,0,"FALSE",0
"SLC6A7",1,0,0,"FALSE",0
"TSPAN9",1,0,0,"FALSE",0
"BTBD7",1,0,0,"FALSE",0.0740740740740741
"APBA3",1,0,0,"FALSE",0.04
"MKS1",1,0,0.0833333333333333,"FALSE",0.0769230769230769
"ABHD5",1,0,0,"FALSE",0
"ANOS1",1,0,0,"FALSE",0
"AKAP8L",1,0,0,"FALSE",0
"MBTD1",1,0,0,"FALSE",0
"UTP18",1,0,0,"FALSE",0
"RNF216",1,0,0,"FALSE",0.193548387096774
"TTC19",1,0,0,"FALSE",0.04
"PTBP1",1,0,0,"FALSE",0
"DPF1",1,0,0,"FALSE",0.0384615384615385
"SYT7",1,0,0,"FALSE",0
"LARS2",1,0,0,"FALSE",0.178571428571429
"PIK3C2A",1,0,0,"FALSE",0
"PLAUR",1,0,0,"FALSE",0
"ANLN",1,0,0,"FALSE",0.04
"WIZ",1,0,0,"FALSE",0
"RABGAP1",1,0,0,"FALSE",0.107142857142857
"DCN",1,0,0.0416666666666667,"FALSE",0.0769230769230769
"QPCTL",1,0,0,"FALSE",0
"PPP5C",1,0,0,"FALSE",0
"CEP68",1,0,0.0416666666666667,"FALSE",0.111111111111111
"MAP4K3",1,0,0,"FALSE",0
"ZBTB32",1,0,0,"FALSE",0.0769230769230769
"TYROBP",1,0,0,"FALSE",0
"TMEM159",1,0,0,"FALSE",0
"GABRA3",1,0,0,"FALSE",0
"BRCA1",1,0,0,"FALSE",0
"ERCC1",1,0,0,"FALSE",0
"CD22",1,0,0,"FALSE",0
"SEMA3B",1,0,0,"FALSE",0
"MBTPS2",1,0,0,"FALSE",0
"PRICKLE3",1,0,0,"FALSE",0
"LTF",1,0,0,"FALSE",0
"EXTL3",1,0,0,"FALSE",0
"NR1H4",1,0,0,"FALSE",0
"ELOVL5",1,0,0,"FALSE",0
"ALOX5",1,0,0,"FALSE",0
"KDM5D",1,0,0,"FALSE",0
"CALCOCO1",1,0,0,"FALSE",0
"UBR7",1,0,0,"FALSE",0
"MAP4K5",1,0,0,"FALSE",0
"EHD3",1,0,0,"FALSE",0
"PSMC4",1,0,0,"FALSE",0
"MAN2B2",1,0,0,"FALSE",0
"SLC7A14",1,0,0,"FALSE",0
"CLDN11",1,0,0,"FALSE",0
"SLC25A39",1,0,0,"FALSE",0
"MVP",1,0,0,"FALSE",0.08
"NUB1",1,0,0,"FALSE",0
"PGM3",1,0,0,"FALSE",0
"RWDD2A",1,0,0,"FALSE",0
"CLK1",1,0,0,"FALSE",0
"POLR3B",1,0,0,"FALSE",0.0769230769230769
"ANGEL1",1,0,0,"FALSE",0
"RNF14",1,0,0,"FALSE",0
"DNASE1L1",1,0,0,"FALSE",0
"DDX11",1,0,0,"FALSE",0.0769230769230769
"HEBP1",1,0,0,"FALSE",0
"GPRC5A",1,0,0,"FALSE",0
"MAMLD1",1,0,0,"FALSE",0.107142857142857
"CD6",1,0,0,"FALSE",0
"TACC3",1,0,0,"FALSE",0
"UFL1",1,0,0,"FALSE",0.04
"POLA2",1,0,0,"FALSE",0
"ZC3H3",1,0,0.0416666666666667,"FALSE",0.0769230769230769
"CAPN1",1,0,0,"FALSE",0
"ACPP",1,0,0,"FALSE",0
"MDH1",1,0,0,"FALSE",0
"SLC30A9",1,0,0,"FALSE",0.04
"MTMR11",1,0,0,"FALSE",0.0740740740740741
"COX15",1,0,0,"FALSE",0
"CCDC88C",1,0,0,"FALSE",0.107142857142857
"YAF2",1,0,0,"FALSE",0
"ZMYND11",1,0,0,"FALSE",0.111111111111111
"WAS",1,0,0,"FALSE",0.04
"DPEP1",1,0,0,"FALSE",0.0740740740740741
"BID",1,0,0,"FALSE",0
"MATR3",1,0,0,"FALSE",0
"NPC1L1",1,0,0,"FALSE",0
"XYLT2",1,0,0,"FALSE",0.0769230769230769
"RGPD5",1,0,0,"FALSE",0
"STMN4",1,0,0,"FALSE",0
"NUDCD3",1,0,0,"FALSE",0
"ISL1",1,0,0,"FALSE",0.0384615384615385
"CHDH",1,0,0,"FALSE",0
"IL20RA",1,0,0,"FALSE",0
"CLCA1",1,0,0,"FALSE",0
"CLCA4",1,0,0,"FALSE",0
"GLT8D1",1,0,0,"FALSE",0
"ATP2C1",1,0,0,"FALSE",0
"IGF1",1,0,0,"FALSE",0
"SLC38A5",1,0,0,"FALSE",0.0384615384615385
"RALBP1",1,0,0,"FALSE",0.0740740740740741
"RUFY3",1,0,0,"FALSE",0.0384615384615385
"CNTN1",1,0,0,"FALSE",0
"SLC11A1",1,0,0,"FALSE",0
"WWTR1",1,0,0.0434782608695652,"FALSE",0.115384615384615
"AGPS",1,0,0,"FALSE",0.0384615384615385
"ZNF806",1,0,0,"FALSE",0
"CXorf56",1,0,0,"FALSE",0
"ATP1A2",1,0,0,"FALSE",0
"TTC27",1,0,0,"FALSE",0.111111111111111
"ZNF582",1,0,0,"FALSE",0
"VSIG2",1,0,0,"FALSE",0.04
"PHLDB1",1,0,0,"FALSE",0
"MARCO",1,0,0,"FALSE",0
"CYP24A1",1,0,0,"FALSE",0
"PRDM11",1,0,0,"FALSE",0.0740740740740741
"SYT13",1,0,0,"FALSE",0
"SNAI2",1,0,0,"FALSE",0
"CD74",1,0,0,"FALSE",0
"HGF",1,0,0,"FALSE",0.0384615384615385
"ZRANB1",1,0,0,"FALSE",0
"NCDN",1,0,0,"FALSE",0
"ADGRA2",1,0,0,"FALSE",0
"CCT8L1P",1,0,0,"FALSE",0
"ZFP64",1,0,0,"FALSE",0.142857142857143
"MNAT1",1,0,0,"FALSE",0
"SAMD4A",1,0,0,"FALSE",0
"RUNX3",1,0,0,"FALSE",0
"MRE11",1,0,0,"FALSE",0
"PLEKHB1",1,0,0,"FALSE",0
"SERPINB1",1,0,0,"FALSE",0
"CYP3A43",1,0,0,"FALSE",0
"SLC7A9",1,0,0,"FALSE",0.04
"SPAST",1,0,0,"FALSE",0
"NRXN3",1,0,0,"FALSE",0
"OSBPL5",1,0,0,"FALSE",0
"AQR",1,0,0,"FALSE",0.0384615384615385
"CPS1",1,0,0,"FALSE",0
"C8B",1,0,0,"FALSE",0.08
"FHL1",1,0,0,"FALSE",0
"RTF2",1,0,0,"FALSE",0
"GABRA1",1,0,0,"FALSE",0
"NLRP2",1,0,0.0416666666666667,"FALSE",0.0769230769230769
"SLC45A4",1,0,0,"FALSE",0.04
"RNF10",1,0,0,"FALSE",0
"ZNF839",1,0,0,"FALSE",0.0769230769230769
"ZDHHC6",1,0,0,"FALSE",0.0384615384615385
"GRAMD1B",1,0,0,"FALSE",0
"RNH1",1,0,0,"FALSE",0
"NDUFS1",1,0,0,"FALSE",0.0384615384615385
"RB1CC1",1,0,0,"FALSE",0.08
"ERP44",1,0,0,"FALSE",0.0384615384615385
"ALAS1",1,0,0,"FALSE",0
"BIRC3",1,0,0,"FALSE",0.0740740740740741
"AKAP11",1,0,0,"FALSE",0
"GLRX2",1,0,0,"FALSE",0
"SNAPC1",1,0,0,"FALSE",0
"DERA",1,0,0,"FALSE",0.0384615384615385
"STRAP",1,0,0,"FALSE",0
"ABCC2",1,0,0,"FALSE",0.0769230769230769
"DEF6",1,0,0,"FALSE",0.0384615384615385
"PLEKHO1",1,0,0,"FALSE",0
"GCLM",1,0,0,"FALSE",0
"UBR2",1,NA,0,"FALSE",0.0769230769230769
"EHD2",1,0,0,"FALSE",0
"DEPDC1",1,0,0,"FALSE",0.0740740740740741
"CCDC28A",1,0,0,"FALSE",0
"RRAGD",1,0,0.0416666666666667,"FALSE",0.04
"HSF2",1,0,0,"FALSE",0
"PHF20",1,0,0.0869565217391304,"TRUE",0.258064516129032
"HSD17B6",1,0,0,"FALSE",0
"NR1H3",1,0,0,"FALSE",0
"TYMP",1,0,0,"FALSE",0
"NCAPH2",1,0,0,"FALSE",0
"TOMM34",1,0,0,"FALSE",0.0740740740740741
"SEC63",1,0,0,"FALSE",0.0384615384615385
"KPNA6",1,0,0,"FALSE",0.0384615384615385
"VIM",1,0,0,"FALSE",0.04
"RTEL1.TNFRSF6B",1,0,0,"FALSE",0
"FAS",1,0,0,"FALSE",0
"RNASET2",1,0,0,"FALSE",0.0384615384615385
"CD44",1,0,0,"FALSE",0.04
"KCNG1",1,0,0,"FALSE",0
"AGPAT4",1,0,0,"FALSE",0.0384615384615385
"SLAMF7",1,0,0,"FALSE",0
"BTN3A1",1,0,0,"FALSE",0
"MIPEP",1,0,0,"FALSE",0.0384615384615385
"PRKCH",1,0,0,"FALSE",0
"INSRR",1,0,0,"FALSE",0.153846153846154
"IFNGR1",1,0,0,"FALSE",0.0384615384615385
"B4GALT7",1,0,0,"FALSE",0
"SH2D2A",1,0,0,"FALSE",0.0384615384615385
"VRK2",1,0,0,"FALSE",0
"TNFRSF1B",1,0,0,"FALSE",0
"VEZT",1,0,0,"FALSE",0
"POU2F2",1,0,0,"FALSE",0
"BRD9",1,0,0,"FALSE",0.111111111111111
"SNX1",1,0,0,"FALSE",0
"TBPL1",1,0,0,"FALSE",0
"ARNTL2",1,0,0,"FALSE",0.0769230769230769
"BCLAF1",1,0,0,"FALSE",0.178571428571429
"SLC39A9",1,0,0,"FALSE",0.0384615384615385
"ANK1",1,0,0,"FALSE",0
"IBSP",1,0,0,"FALSE",0
"TFB1M",1,0,0,"FALSE",0
"RABEP1",1,0,0,"FALSE",0.0769230769230769
"HMGB3",1,0,0,"FALSE",0
"NUP160",1,0,0,"FALSE",0
"BAK1",1,0,0,"FALSE",0
"MUSK",1,0,0,"FALSE",0
"IKZF2",1,0,0,"FALSE",0.0769230769230769
"GRN",1,0,0,"FALSE",0
"FAM13B",1,0,0,"FALSE",0
"ARHGAP31",1,NA,0,"FALSE",0.0769230769230769
"CENPQ",1,0,0,"FALSE",0
"SARS",1,0,0,"FALSE",0
"RANBP3",1,0,0,"FALSE",0.0740740740740741
"ARID4A",1,0,0,"FALSE",0
"EIPR1",1,0,0,"FALSE",0
"PNPLA6",1,0,0,"FALSE",0.0384615384615385
"IFT88",1,0,0,"FALSE",0.08
"ALG1",1,0,0,"FALSE",0
"ZCCHC8",1,0,0,"FALSE",0
"ABCF2",1,0,0,"FALSE",0.04
"CHPF2",1,0,0,"FALSE",0
"LRRC7",1,0,0,"FALSE",0.172413793103448
"FUT8",1,0,0,"FALSE",0
"UBA6",1,0,0.0434782608695652,"FALSE",0.08
"GAB2",1,0,0,"FALSE",0
"ATP6V0A1",1,0,0,"FALSE",0
"PIAS1",1,0,0,"FALSE",0
"SLC4A7",1,0,0.0416666666666667,"FALSE",0.04
"APBA2",1,0,0.0434782608695652,"FALSE",0.08
"MAP2K3",1,0,0,"FALSE",0.111111111111111
"EFCAB1",1,0,0,"FALSE",0
"TMSB10",1,0,0,"FALSE",0
"ASTE1",1,0,0,"FALSE",0
"RNF19A",1,0,0,"FALSE",0.0769230769230769
"PEX3",1,0,0,"FALSE",0
"GABARAPL2",1,0,0,"FALSE",0
"MYOC",1,0,0,"FALSE",0.0384615384615385
"SH3YL1",1,0,0,"FALSE",0
"FAM136A",1,0,0,"FALSE",0
"VCL",1,0,0,"FALSE",0
